Address,Suite,Month,Year,Rent,Reimbursement,Notes
10647 Hazen St,,1,2018,0.00,,
10647 Hazen St,,2,2018,0.00,,
10647 Hazen St,,3,2018,0.00,,
10647 Hazen St,,4,2018,0.00,,
10647 Hazen St,,5,2018,0.00,,
10647 Hazen St,,6,2018,0.00,,
10647 Hazen St,,7,2018,1500.00,,
10647 Hazen St,,8,2018,1500.00,,
10647 Hazen St,,9,2018,1500.00,,
10647 Hazen St,,10,2018,1500.00,55.00,
10647 Hazen St,,11,2018,1500.00,,
10647 Hazen St,,12,2018,1500.00,,
10647 Hazen St,,1,2019,1500.00,110.00,
10647 Hazen St,,2,2019,1500.00,35.00,
10647 Hazen St,,3,2019,1500.00,,
10647 Hazen St,,4,2019,1500.00,50.00,
10647 Hazen St,,5,2019,1500.00,,
10647 Hazen St,,6,2019,1500.00,35.00,
10647 Hazen St,,7,2019,1500.00,130.00,
10647 Hazen St,,8,2019,1500.00,40.00,
10647 Hazen St,,9,2019,1500.00,110.00,
10647 Hazen St,,10,2019,0.00,,
10647 Hazen St,,11,2019,1500.00,,
10647 Hazen St,,12,2019,290.00,,
10647 Hazen St,,3,2020,1550.00,,deposit
10647 Hazen St,,3,2020,1550.00,,April rent
10647 Hazen St,,5,2020,1550.00,,
10647 Hazen St,,6,2020,1550.00,,
10647 Hazen St,,7,2020,1550.00,,
10647 Hazen St,,8,2020,1550.00,,
10647 Hazen St,,9,2020,1460.00,,
10647 Hazen St,,10,2020,1460.00,,
10647 Hazen St,,11,2020,1460.00,,
10647 Hazen St,,12,2020,1460.00,,
2607 Kimbleton Ct,,6,2021,2300.00,,Security Deposit
2607 Kimbleton Ct,,7,2021,1380.00,,
2607 Kimbleton Ct,,8,2021,2300.00,,
2607 Kimbleton Ct,,9,2021,2300.00,,
2607 Kimbleton Ct,,10,2021,2300.00,,
2607 Kimbleton Ct,,11,2021,2300.00,,
2607 Kimbleton Ct,,12,2021,2300.00,,
2607 Kimbleton Ct,,1,2022,2300.00,,
2607 Kimbleton Ct,,2,2022,2300.00,,
2607 Kimbleton Ct,,3,2022,2300.00,,
2607 Kimbleton Ct,,4,2022,2300.00,,
10647 Hazen St,,1,2021,1460.00,,
10647 Hazen St,,2,2021,1460.00,,
10647 Hazen St,,3,2021,1460.00,,
10647 Hazen St,,4,2021,1550.00,90.00,Reimbursement for sprinkler line removal
10647 Hazen St,,5,2021,1550.00,90.00,Reimbursement for sprinkler line removal
10647 Hazen St,,6,2021,1550.00,90.00,Reimbursement for sprinkler line removal
10647 Hazen St,,7,2021,1550.00,90.00,Reimbursement for sprinkler line removal
10647 Hazen St,,8,2021,1550.00,90.00,Reimbursement for sprinkler line removal
10647 Hazen St,,9,2021,1550.00,90.00,Reimbursement for sprinkler line removal
10647 Hazen St,,10,2021,1550.00,90.00,Reimbursement for sprinkler line removal
10647 Hazen St,,11,2021,1550.00,,
10647 Hazen St,,12,2021,1550.00,,
10647 Hazen St,,1,2022,1550.00,,
10647 Hazen St,,2,2022,1550.00,,
10647 Hazen St,,3,2022,1050.00,,$500 deduction for water leakage
10647 Hazen St,,4,2022,1550.00,90.00,$389.99 sink repair fee
14258 Valverde Point Ln,,11,2020,1650.00,,
14258 Valverde Point Ln,,12,2020,1950.00,,rent + pet deposit
14258 Valverde Point Ln,,1,2021,1650.00,,
14258 Valverde Point Ln,,2,2021,1650.00,,
14258 Valverde Point Ln,,3,2021,1650.00,,
14258 Valverde Point Ln,,4,2021,1650.00,,
14258 Valverde Point Ln,,5,2021,1650.00,,
14258 Valverde Point Ln,,6,2021,1650.00,,
14258 Valverde Point Ln,,7,2021,1650.00,,
14258 Valverde Point Ln,,8,2021,1650.00,,
14258 Valverde Point Ln,,9,2021,1650.00,,
14258 Valverde Point Ln,,10,2021,1650.00,,
14258 Valverde Point Ln,,11,2021,1650.00,,
14258 Valverde Point Ln,,12,2021,1650.00,,
14258 Valverde Point Ln,,1,2022,1650.00,,
14258 Valverde Point Ln,,3,2022,3400.00,,rent + deposit
14258 Valverde Point Ln,,4,2022,1700.00,,
14939 Bennetts Mill Ln,,12,2021,2800.00,,
14939 Bennetts Mill Ln,,1,2022,2619.35,,
14939 Bennetts Mill Ln,,2,2022,2800.00,,
14939 Bennetts Mill Ln,,3,2022,2800.00,200.00,reimburse half for toilet repair
14939 Bennetts Mill Ln,,4,2022,2800.00,,
4102-4116 McKinney St,4102,1,2019,0.00,,
4102-4116 McKinney St,4102,2,2019,18629.03,,
4102-4116 McKinney St,4102,3,2019,0.00,,
4102-4116 McKinney St,4102,4,2019,0.00,,
4102-4116 McKinney St,4102,4,2020,1500.00,,
4102-4116 McKinney St,4102,5,2019,0.00,,
4102-4116 McKinney St,4102,5,2020,0.00,,
4102-4116 McKinney St,4102,6,2019,0.00,,
4102-4116 McKinney St,4102,6,2020,0.00,,
4102-4116 McKinney St,4102,7,2019,0.00,,
4102-4116 McKinney St,4102,7,2020,1700.00,,
4102-4116 McKinney St,4102,7,2020,100.00,,Tentant Deductible - Handyman changed light blub
4102-4116 McKinney St,4102,8,2019,0.00,,
4102-4116 McKinney St,4102,8,2020,1700.00,,
4102-4116 McKinney St,4102,8,2020,100.00,,Tentant Deductible - Handyman changed light blub
4102-4116 McKinney St,4102,8,2020,28.21,,Tenant Electricity Charge
4102-4116 McKinney St,4102,8,2020,100.00,,Tenant Deductible - Handyman changed garage light bulb
4102-4116 McKinney St,4102,9,2018,1890.00,,
4102-4116 McKinney St,4102,9,2019,0.00,,
4102-4116 McKinney St,4102,9,2020,1700.00,,
4102-4116 McKinney St,4102,9,2020,1500.00,,Security Deposit Transfer
4102-4116 McKinney St,4102,10,2018,1870.00,,
4102-4116 McKinney St,4102,10,2019,0.00,,
4102-4116 McKinney St,4102,10,2020,1700.00,,
4102-4116 McKinney St,4102,11,2018,0.00,,empty
4102-4116 McKinney St,4102,11,2019,0.00,,
4102-4116 McKinney St,4102,12,2018,0.00,,empty
4102-4116 McKinney St,4102,12,2019,0.00,,
4102-4116 McKinney St,4104,1,2019,1650.00,,
4102-4116 McKinney St,4104,1,2020,1650.00,,
4102-4116 McKinney St,4104,2,2019,1650.00,,
4102-4116 McKinney St,4104,2,2020,1650.00,,
4102-4116 McKinney St,4104,3,2019,1650.00,,
